[2023/03/30 06:17:15] - Namespace(alpha=8, batch_m=0.75, batch_size=128, data_dir='../data', delta_init='random', epochs=110, epsilon=8, inner_gamma=0.15 lamda=0.6, log='TDAT.log', lr_max=0.1, lr_min=0.0, lr_schedule='multistep', milestone1=100, milestone2=105, model='ResNet18', momentum=0.9, out_dir='TDAT', outer_gamma=0.15, save_epoch=104, seed=0, weight_decay=0.0005)
[2023/03/30 06:17:17] - Epoch 	 Seconds 	 LR 	 Inner Loss 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2023/03/30 08:58:16] - 77 	 77.6 	 	 0.1000 	 2.2862 	 	 2.2607 	 0.5909 	 1.8683 	 	 0.7251 	 1.9798 	 0.4840
[2023/03/30 09:00:24] - 78 	 76.6 	 	 0.1000 	 2.2887 	 	 2.2635 	 0.5899 	 1.8932 	 	 0.7093 	 1.9973 	 0.4793
[2023/03/30 09:02:29] - 79 	 74.0 	 	 0.1000 	 2.2913 	 	 2.2654 	 0.5903 	 1.8558 	 	 0.7182 	 1.9633 	 0.4868
[2023/03/30 09:04:41] - 80 	 81.1 	 	 0.1000 	 2.2937 	 	 2.2677 	 0.5905 	 1.8827 	 	 0.7278 	 1.9882 	 0.4766
[2023/03/30 09:06:48] - 81 	 76.1 	 	 0.1000 	 2.2959 	 	 2.2695 	 0.5920 	 1.9121 	 	 0.7225 	 2.0124 	 0.4753
[2023/03/30 09:08:56] - 82 	 75.2 	 	 0.1000 	 2.2981 	 	 2.2713 	 0.5911 	 1.8986 	 	 0.7294 	 2.0026 	 0.4931
[2023/03/30 09:10:33] - 83 	 64.3 	 	 0.1000 	 2.3001 	 	 2.2731 	 0.5953 	 1.9182 	 	 0.7339 	 2.0180 	 0.4978
[2023/03/30 09:12:34] - 84 	 68.7 	 	 0.1000 	 2.3001 	 	 2.2736 	 0.5889 	 1.9319 	 	 0.7111 	 2.0231 	 0.4627
[2023/03/30 09:14:41] - 85 	 74.5 	 	 0.1000 	 2.3002 	 	 2.2740 	 0.5844 	 1.9461 	 	 0.7154 	 2.0390 	 0.4660
[2023/03/30 09:16:50] - 86 	 77.8 	 	 0.1000 	 2.3002 	 	 2.2741 	 0.5835 	 1.9372 	 	 0.7324 	 2.0337 	 0.4872
[2023/03/30 09:18:55] - 87 	 73.9 	 	 0.1000 	 2.3001 	 	 2.2743 	 0.5817 	 1.9360 	 	 0.7201 	 2.0331 	 0.4850
[2023/03/30 09:21:04] - 88 	 76.6 	 	 0.1000 	 2.3002 	 	 2.2743 	 0.5814 	 1.9198 	 	 0.7436 	 2.0237 	 0.4873
[2023/03/30 09:23:11] - 89 	 75.8 	 	 0.1000 	 2.3002 	 	 2.2744 	 0.5814 	 1.9339 	 	 0.6944 	 2.0226 	 0.4815
[2023/03/30 09:25:17] - 90 	 74.4 	 	 0.1000 	 2.3003 	 	 2.2742 	 0.5822 	 1.9486 	 	 0.7113 	 2.0415 	 0.4805
[2023/03/30 09:27:26] - 91 	 77.8 	 	 0.1000 	 2.3003 	 	 2.2740 	 0.5823 	 1.9231 	 	 0.7351 	 2.0239 	 0.4839
[2023/03/30 09:29:32] - 92 	 75.0 	 	 0.1000 	 2.3003 	 	 2.2740 	 0.5841 	 1.9091 	 	 0.7228 	 2.0131 	 0.4699
[2023/03/30 09:30:59] - 93 	 55.9 	 	 0.1000 	 2.3004 	 	 2.2738 	 0.5844 	 1.9208 	 	 0.7328 	 2.0230 	 0.4730
[2023/03/30 09:33:09] - 94 	 77.9 	 	 0.1000 	 2.3005 	 	 2.2733 	 0.5883 	 1.8964 	 	 0.7339 	 2.0251 	 0.4273
[2023/03/30 09:35:15] - 95 	 75.9 	 	 0.1000 	 2.3003 	 	 2.2744 	 0.5804 	 1.9308 	 	 0.7209 	 2.0235 	 0.4735
[2023/03/30 09:37:23] - 96 	 74.9 	 	 0.1000 	 2.3001 	 	 2.2747 	 0.5785 	 1.9416 	 	 0.7219 	 2.0378 	 0.4728
[2023/03/30 09:39:35] - 97 	 80.6 	 	 0.1000 	 2.3001 	 	 2.2748 	 0.5752 	 1.9338 	 	 0.7251 	 2.0307 	 0.4717
[2023/03/30 09:41:43] - 98 	 76.7 	 	 0.1000 	 2.3001 	 	 2.2748 	 0.5768 	 1.9117 	 	 0.7032 	 2.0144 	 0.4559
[2023/03/30 09:43:51] - 99 	 74.7 	 	 0.1000 	 2.3001 	 	 2.2749 	 0.5752 	 1.9450 	 	 0.7048 	 2.0388 	 0.4696
[2023/03/30 09:46:04] - 100 	 77.4 	 	 0.0100 	 2.3001 	 	 2.2711 	 0.6201 	 1.8750 	 	 0.7848 	 1.9841 	 0.5481
[2023/03/30 09:48:09] - 101 	 74.8 	 	 0.0100 	 2.3003 	 	 2.2673 	 0.6628 	 1.8542 	 	 0.7986 	 1.9699 	 0.5536
[2023/03/30 09:50:04] - 102 	 76.7 	 	 0.0100 	 2.3006 	 	 2.2661 	 0.6733 	 1.8504 	 	 0.8080 	 1.9690 	 0.5584
[2023/03/30 09:51:49] - 103 	 54.0 	 	 0.0100 	 2.3007 	 	 2.2654 	 0.6804 	 1.8474 	 	 0.8129 	 1.9677 	 0.5557
[2023/03/30 09:53:56] - 104 	 74.5 	 	 0.0100 	 2.3008 	 	 2.2648 	 0.6839 	 1.8418 	 	 0.8119 	 1.9635 	 0.5631
[2023/03/30 09:56:06] - 105 	 77.5 	 	 0.0010 	 2.3008 	 	 2.2640 	 0.6951 	 1.8311 	 	 0.8171 	 1.9547 	 0.5657
[2023/03/30 09:58:13] - 106 	 76.4 	 	 0.0010 	 2.3008 	 	 2.2631 	 0.7053 	 1.8227 	 	 0.8164 	 1.9486 	 0.5655
[2023/03/30 10:00:20] - 107 	 76.1 	 	 0.0010 	 2.3008 	 	 2.2630 	 0.7067 	 1.8294 	 	 0.8196 	 1.9538 	 0.5681
[2023/03/30 10:02:30] - 108 	 78.0 	 	 0.0010 	 2.3009 	 	 2.2626 	 0.7087 	 1.8256 	 	 0.8230 	 1.9517 	 0.5680
[2023/03/30 10:04:37] - 109 	 75.8 	 	 0.0010 	 2.3009 	 	 2.2628 	 0.7082 	 1.8315 	 	 0.8225 	 1.9558 	 0.5685
